,id,url,type,cost,impression,effect,status,img
66,CR184770730024501248,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR184770730024501248,Image,50,50000,1000,,
67,CR189802095233204224,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR189802095233204224,Image,50,50000,1000,,
68,CR190576151419158528,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR190576151419158528,Image,500,500000,1000,,
69,CR192968688721199104,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR192968688721199104,Image,50,5000,100,,
70,CR19826393672056832,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR19826393672056832,Image,50,5000,100,,
71,CR207288728161353728,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR207288728161353728,Image,50,50000,1000,,
72,CR216612586764894208,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR216612586764894208,Image,50,500000,10000,,
73,CR217773671043825664,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR217773671043825664,Image,25000,5000000,200,,
74,CR222242086299107328,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR222242086299107328,Image,50,50000,1000,,
75,CR223403170578038784,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR223403170578038784,Image,500,500000,1000,,
76,CR226745685926477824,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR226745685926477824,Image,50,5000,100,,
77,CR241663859692142592,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR241663859692142592,Image,50,50000,1000,,
78,CR243317525180317696,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR243317525180317696,Image,500,500000,1000,,
79,CR247856309179777024,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR247856309179777024,Image,50,50000,1000,,
80,CR248384074761109504,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR248384074761109504,Image,500,500000,1000,,
81,CR252324724435058688,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR252324724435058688,Image,50,50000,1000,,
82,CR253450624341901312,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR253450624341901312,Image,500,500000,1000,,
83,CR258130145829715968,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR258130145829715968,Image,500,500000,1000,,
84,CR262704114201264128,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR262704114201264128,Image,50,5000,100,,
85,CR27144743066533888,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR27144743066533888,Image,50,50000,1000,,
86,CR271465022851383296,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR271465022851383296,Image,50,5000,100,,
87,CR279346322199281664,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR279346322199281664,Image,500,500000,1000,,
88,CR287966493361045504,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR287966493361045504,Image,500,5000000,10000,,
89,CR298486620615606272,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR298486620615606272,Image,50,5000,100,,
90,CR299612520522448896,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR299612520522448896,Image,500,500000,1000,,
91,CR301899504708222976,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR301899504708222976,Image,500,500000,1000,,
92,CR310871519590875136,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR310871519590875136,Image,50,50000,1000,,
93,CR311610391404740608,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR311610391404740608,Image,50,5000,100,,
94,CR313827006846337024,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR313827006846337024,Image,50,50000,1000,,
95,CR31648342693904384,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR31648342693904384,Image,50,500000,10000,,
96,CR317626919031930880,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR317626919031930880,Image,50,5000,100,,
97,CR319350953264283648,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR319350953264283648,Image,50,50000,1000,,
98,CR31965002042703872,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR31965002042703872,Image,50,50000,1000,,
99,CR325508218379829248,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR325508218379829248,Image,50,50000,1000,,
100,CR328498890007379968,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR328498890007379968,Image,50,5000,100,,
101,CR334515417634570240,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR334515417634570240,Image,50,500000,10000,,
102,CR33900142507589632,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR33900142507589632,Image,500,500000,1000,,
103,CR340144917168783360,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR340144917168783360,Image,50,50000,1000,,
104,CR342361532610379776,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR342361532610379776,Image,50,5000,100,,
105,CR343874460610199552,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR343874460610199552,Image,25000,5000000,200,,
106,CR344965176144953344,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR344965176144953344,Image,50,50000,1000,,
107,CR346900316609839104,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR346900316609839104,Image,50,50000,1000,,
108,CR358159315678265344,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR358159315678265344,Image,50,50000,1000,,
109,CR362662915305635840,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR362662915305635840,Image,50,50000,1000,,
110,CR367166514933006336,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR367166514933006336,Image,50,50000,1000,,
111,CR370544214653534208,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR370544214653534208,Image,50,5000,100,,
112,CR37277842228117504,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR37277842228117504,Image,50,50000,1000,,
113,CR376173714187747328,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR376173714187747328,Image,50,5000,100,,
114,CR379551413908275200,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR379551413908275200,Image,500,500000,1000,,
115,CR380114363861696512,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR380114363861696512,Image,50,50000,1000,,
116,CR38403742134960128,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR38403742134960128,Image,50,50000,1000,,
117,CR385919785256353792,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR385919785256353792,Image,50,50000,1000,,
118,CR387467897628262400,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR387467897628262400,Image,25000,5000000,200,,
119,CR389649328697769984,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR389649328697769984,Image,50,50000,1000,,
120,CR390001172418658304,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR390001172418658304,Image,50,50000,1000,,
121,CR391936312883544064,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR391936312883544064,Image,50,50000,1000,,
122,CR393660347115896832,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR393660347115896832,Image,50,50000,1000,,
123,CR403230496324059136,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR403230496324059136,Image,50,50000,1000,,
124,CR40655541948645376,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR40655541948645376,Image,50,500000,10000,,
125,CR407698911579340800,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR407698911579340800,Image,500,500000,1000,,
126,CR410513661346447360,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR410513661346447360,Image,50,50000,1000,,
127,CR418957910647767040,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR418957910647767040,Image,50,50000,1000,,
128,CR421209710461452288,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR421209710461452288,Image,50,50000,1000,,
129,CR42907341762330624,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR42907341762330624,Image,50,50000,1000,,
130,CR432081681436901376,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR432081681436901376,Image,500,500000,1000,,
131,CR434720509343563776,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR434720509343563776,Image,50,50000,1000,,
132,CR443973999202926592,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR443973999202926592,Image,50,50000,1000,,
133,CR454986707666731008,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR454986707666731008,Image,500,5000000,10000,,
134,CR455795948224774144,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR455795948224774144,Image,50,50000,1000,,
135,CR469588222083596288,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR469588222083596288,Image,500,500000,1000,,
136,CR470749306362527744,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR470749306362527744,Image,50,50000,1000,,
137,CR478630605710426112,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR478630605710426112,Image,50,50000,1000,,
138,CR486511905058324480,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR486511905058324480,Image,50,50000,1000,,
139,CR489115548592898048,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR489115548592898048,Image,500,500000,1000,,
140,CR505652203474649088,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR505652203474649088,Image,50,50000,1000,,
141,CR509029903195176960,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR509029903195176960,Image,50,500000,10000,,
142,CR513533502822547456,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR513533502822547456,Image,500,500000,1000,,
143,CR532638616866783232,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR532638616866783232,Image,500,500000,1000,,
144,CR532708985610960896,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR532708985610960896,Image,500,500000,1000,,
145,CR54166340830756864,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR54166340830756864,Image,50,500000,10000,,
146,CR547310500027826176,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR547310500027826176,Image,50,50000,1000,,
147,CR549984512306577408,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR549984512306577408,Image,50,50000,1000,,
148,CR553115921422483456,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR553115921422483456,Image,50,50000,1000,,
149,CR553678871375904768,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR553678871375904768,Image,50,5000,100,,
150,CR554101083840970752,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR554101083840970752,Image,50,50000,1000,,
151,CR55855190691020800,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR55855190691020800,Image,50,500000,10000,,
152,CR565324898537308160,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR565324898537308160,Image,50,50000,1000,,
153,CR56769984365330432,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR56769984365330432,Image,500,500000,1000,,
154,CR567822988955615232,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR567822988955615232,Image,50,5000,100,,
155,CR568737782629924864,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR568737782629924864,Image,50,5000,100,,
156,CR574332097792049152,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR574332097792049152,Image,50,5000,100,,
157,CR57508856179195904,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR57508856179195904,Image,50,50000,1000,,
158,CR5998935441145856,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR5998935441145856,Image,50,50000,1000,,
159,CR73306639247081472,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR73306639247081472,Image,50,50000,1000,,
160,CR92446937663406080,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR92446937663406080,Image,50,50000,1000,,
161,CR9306266417496064,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR9306266417496064,Image,25000,500000,20,,
172,CR272410602851270656,https://transparencyreport.google.com/political-ads/library/advertiser/AR101427748639080448/creative/CR272410602851270656,Image,50,50000,1000,,
173,CR3615194232127488,https://transparencyreport.google.com/political-ads/library/advertiser/AR101427748639080448/creative/CR3615194232127488,Image,50,50000,1000,,
199,CR101352981848391680,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR101352981848391680,Image,50,5000,100,,
205,CR105522879696732160,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR105522879696732160,Image,500,5000000,10000,,
210,CR112559204358684672,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR112559204358684672,Image,50,5000,100,,
211,CR112611980916817920,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR112611980916817920,Image,50,50000,1000,,
222,CR120634017753071616,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR120634017753071616,Image,50,5000,100,,
223,CR121056230218137600,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR121056230218137600,Image,50,5000,100,,
224,CR121759917659914240,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR121759917659914240,Image,50,5000,100,,
227,CR123308030031822848,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR123308030031822848,Image,50,5000,100,,
232,CR127811629659193344,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR127811629659193344,Image,50,5000,100,,
242,CR134004079146827776,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR134004079146827776,Image,50,5000,100,,
243,CR135411454030381056,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR135411454030381056,Image,50,50000,1000,,
248,CR142026115983081472,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR142026115983081472,Image,50,5000,100,,
253,CR148588001377648640,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR148588001377648640,Image,50,5000,100,,
260,CR158914614585720832,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR158914614585720832,Image,50,5000,100,,
262,CR15925326416707584,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR15925326416707584,Image,50,5000,100,,
264,CR161166414399406080,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR161166414399406080,Image,50,5000,100,,
274,CR1710840092819456,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR1710840092819456,Image,50,5000,100,,
277,CR175943850676715520,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR175943850676715520,Image,50,5000,100,,
281,CR177914175513690112,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR177914175513690112,Image,50,5000,100,,
291,CR198180373836857344,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR198180373836857344,Image,50,50000,1000,,
301,CR216194772346339328,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR216194772346339328,Image,50,50000,1000,,
303,CR219009522113445888,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR219009522113445888,Image,50,5000,100,,
309,CR22487211811274752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR22487211811274752,Image,50,5000,100,,
314,CR235475808251019264,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR235475808251019264,Image,50,50000,1000,,
322,CR240683095320166400,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR240683095320166400,Image,50,50000,1000,,
328,CR243779320063983616,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR243779320063983616,Image,50,5000,100,,
330,CR244060795040694272,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR244060795040694272,Image,50,5000,100,,
334,CR244905219970826240,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR244905219970826240,Image,50,5000,100,,
341,CR255601269085831168,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR255601269085831168,Image,50,5000,100,,
342,CR257290118946095104,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR257290118946095104,Image,50,5000,100,,
347,CR26058425578291200,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR26058425578291200,Image,50,5000,100,,
348,CR260667818666622976,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR260667818666622976,Image,50,50000,1000,,
350,CR262075193550176256,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR262075193550176256,Image,50,5000,100,,
353,CR268126905549455360,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR268126905549455360,Image,50,5000,100,,
355,CR273052717641891840,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR273052717641891840,Image,50,5000,100,,
357,CR276008204897353728,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR276008204897353728,Image,50,50000,1000,,
359,CR278400742199394304,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR278400742199394304,Image,50,5000,100,,
373,CR293318915965059072,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR293318915965059072,Image,50,5000,100,,
378,CR300778002847891456,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR300778002847891456,Image,50,5000,100,,
379,CR301200215312957440,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR301200215312957440,Image,50,5000,100,,
384,CR305703814940327936,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR305703814940327936,Image,50,5000,100,,
399,CR317244288985464832,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR317244288985464832,Image,50,5000,100,,
403,CR321747888612835328,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR321747888612835328,Image,50,5000,100,,
408,CR325970013263495168,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR325970013263495168,Image,50,5000,100,,
410,CR327095913170337792,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR327095913170337792,Image,50,5000,100,,
413,CR328221813077180416,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR328221813077180416,Image,50,5000,100,,
415,CR328731986472468480,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR328731986472468480,Image,50,5000,100,,
416,CR330755087867576320,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR330755087867576320,Image,50,5000,100,,
421,CR337932699773698048,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR337932699773698048,Image,50,50000,1000,,
424,CR340043762099027968,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR340043762099027968,Image,50,5000,100,,
427,CR341310399494225920,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR341310399494225920,Image,50,5000,100,,
431,CR34924887344676864,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR34924887344676864,Image,50,5000,100,,
432,CR350458336237322240,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR350458336237322240,Image,50,5000,100,,
434,CR351584236144164864,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR351584236144164864,Image,50,5000,100,,
435,CR352428661074296832,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR352428661074296832,Image,50,5000,100,,
438,CR355806360794824704,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR355806360794824704,Image,50,5000,100,,
441,CR356932260701667328,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR356932260701667328,Image,50,5000,100,,
442,CR357495210655088640,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR357495210655088640,Image,50,5000,100,,
448,CR363687660142723072,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR363687660142723072,Image,50,5000,100,,
457,CR368754209723514880,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR368754209723514880,Image,50,5000,100,,
460,CR372131909444042752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR372131909444042752,Image,50,5000,100,,
465,CR379450258838519808,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR379450258838519808,Image,50,5000,100,,
473,CR388598195581616128,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR388598195581616128,Image,50,50000,1000,,
482,CR400842357068529664,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR400842357068529664,Image,50,5000,100,,
485,CR406612594091098112,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR406612594091098112,Image,50,5000,100,,
488,CR407264054730555392,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR407264054730555392,Image,500,500000,1000,,
497,CR414353155950641152,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR414353155950641152,Image,50,5000,100,,
514,CR428989854739595264,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR428989854739595264,Image,50,5000,100,,
527,CR441515491203219456,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR441515491203219456,Image,50,50000,1000,,
530,CR444752453435392000,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR444752453435392000,Image,50,5000,100,,
534,CR447144990737432576,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR447144990737432576,Image,50,5000,100,,
